name_category,img_category,url_category,title
Turkey,40c3c0a0f034868129df0fce7c43e6fd.jpg,https://en.sas.am/categories/Turkey_1326/,False
Hen, chicken,69a78feb7452848c8689a4c528e5017d.jpg,https://en.sas.am/categories/Hen_chicken_2897/,False
Fish, seafood,bb56e2bc7f1dd7dbef2438dc95369604.jpg,https://en.sas.am/categories/Fish_seafood_1327/,True
Ice,2506cea6649c11fe97846f213badcf2b.jpg,https://en.sas.am/categories/Ice_2902/,True
Vegetables, fruits, berries,98d7e5cf39778b24e4b31704fa8882d8.jpg,https://en.sas.am/categories/Vegetables_fruits_berries_1313/,True
Semi-cooked products,255c718b6dd295d85e2c048a194a990f.jpg,https://en.sas.am/categories/Semi_cooked_products__1310/,True
Pancakes,9f3da3f4c87fe1aa3c78c8e3bbb3b393.jpg,https://en.sas.am/categories/Pancakes_1317/,False
Meat dumplings,67f26e2b3380771b4f2c5ed1263cef04.jpg,https://en.sas.am/categories/Meat_dumplings__2894/,False
Curd or fruit dumplings, khinkali,9b404db225b6198af276b8abe3d2f3a9.jpg,https://en.sas.am/categories/Curd_or_fruit_dumplings_khinkali_1315/,False
Ishli, meatballs,eba1e54edbf192581b97fab9b0261f5c.jpg,https://en.sas.am/categories/Ishli_meatballs__2713/,False
Sticks, nagetes,d7c20d987581ae8a752252621fb83d0d.jpg,https://en.sas.am/categories/Sticks_nagetes__2714/,False
Cutlets,c7dc79a954848bfb100ef9615df6a64a.jpg,https://en.sas.am/categories/Cutlets__3016/,False
Pizza dough, pizza,919d9fabc41dd52ee33baf25798d7da2.jpg,https://en.sas.am/categories/Pizza_dough_pizza__1318/,False
Dough,a44feff9b69f3f351d6f0170e155ac12.jpg,https://en.sas.am/categories/Dough_2715/,False
Semi-finished products made of dough,cd9299c300f32378e66833e12f4b02f5.jpg,https://en.sas.am/categories/Semi_finished_products_made_of_dough__2895/,False
Other,8be2aecd5458011328c22f5a3b6633dc.JPG,https://en.sas.am/categories/Other_3017/,False
Ice-cream,cb2c9019d1c36eb1dd9a890d390d6741.jpg,https://en.sas.am/categories/Ice_cream_2899/,True
Armenian,b0a411c31b27987fcab40dc06ed3d12f.jpg,https://en.sas.am/categories/Armenian_2900/,False
Imported,71b6953fabacfc23d3a82c619e1f9901.jpg,https://en.sas.am/categories/Imported_2901/,False
